内容,时间戳
妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈,1091.23300
妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈,1090.13100
啊啊啊啊啊啊啊啊，成都，谁懂我就是成都的，我现在就在成都,902.85100
我勒个豆，你们知道吗？现在我正在做这题,713.43100
数独是吧,721.92900
华丽的精致宝箱,126.04400
原来你也,1797.66900
元素视野666,1756.21700
北极熊。,261.69200
不卡岩差评（doge),1584.19900
月月妈身体不太方便吧,203.68900
还能查攻略的啊,2292.56000
熊！！！！,235.10200
太可爱了,1266.56400
哈哈哈哈哈哈笑死了,1915.21300
这个加血笑死我了,1716.94900
哈哈哈哈哈哈哈哈哈哈哈,1807.49500
当初还在京剧猫里看过,872.16300
那这茶不咸吗？（滑稽）,1533.09800
原神启动,70.58500
月妈！攻略！,496.42600
第二季终于来了。,15.81900
节目组还是会选人的，知道其他几个是氛围组所以专门请了一个靠谱的来推动剧情，不然他们恐怕第一关就困住了（滑稽）,1018.40200
你也玩原神？,1783.89400
莴苣专业对口,718.64400
嘟嘟可在哪里（,1592.97900
Npc小姐姐好可爱呢,465.97300
院审，启动,826.08800
没有莴苣播不下去了哈哈哈哈哈,759.35800
难他天,1819.96400
憨憨哲好可爱,1405.20300
太可爱了boy哥哥,1295.69200
是开着的,1606.14200
尬住了家人,2051.74700
中国boy！！,144.19200
Shed a light~,2431.12600
Shed a light~,2326.99400
喔，草原,1844.52700
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1803.54700
难你天,1793.26700
原来你也玩～,1785.36700
不要把线索吃了,1714.54100
孙笑•川剧院,1559.35200
完全失重，重力用来提供向心加速度而不是重力加速度,858.99800
专业NPC,1601.79000
这多少有点四肢不协调（笑死,1280.39600
院审，启动！,815.91900
红红火火恍恍惚惚哈哈哈哈哈哈哈哈,1814.49700
玛雅博爱这么帅呢,215.57200
师傅：我的壶啊（）,1097.31000
原神，启动！,2431.91500
一股子综艺味儿（,135.78600
我以为他们要喊五印同显呢,2335.24400
我超，原！,1845.86200
著名丘丘语专家,236.24300
原来你也玩原神,1810.70200
哈哈哈哈哈,2061.90200
HAHAHAHA,1811.44800
原来你也玩原神,1643.16200
院审，启动！,813.97900
你也玩原神,1788.52900
欧比克莱川剧院,1559.18900
即知是原为何要避,2430.67100
熊的声音真的快对不上了哈哈哈哈哈哈,426.89200
北极熊,146.31100
纸巾盒！,2191.50400
啊北极熊我是你的狗！,114.16300
毛线团,90.83200
大制作,79.88400
北极熊！！！！！,9.91700
莴苣妈妈好靠谱,1459.82400
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1284.47000
不行，熊的声音跟脸我对不上号，我脑子里全是他的皮套,283.28300
原来你也玩原神,1770.38700
专业对口,669.34800
魂儿！！！可爱,230.86400
魂宝可爱捏,132.70700
我真觉得要找的是锅巴而不是原神,2005.83900
wu,1859.95900
帮帮我，肯德基爷爷！,501.27100
变自动箱了,763.59900
纸巾那边有一个 ,2138.53800
开始解密了,455.75700
欧庇克莱川剧院笑死,1582.65800
又是豹哥，你才是常驻！,325.79700
流萤呢,194.14000
「乌瑟勋爵」～,1425.79900
不愧是你,1675.91800
温迪：酒？哪呢哪呢？我要喝！,1241.69900
把窗户后面的拍摄人员全都打上马赛克了，笑死我了,2295.76700
不可能失败的，倒计时就只是个摆设。,2221.17900
哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈这个bgm,2342.66500
马里奥的音效,1404.98700
对话还没触发,551.33900
不亏是妈妈,1469.00100
钟老爷子！！！！,109.29000
不愧是你，熊,1676.23900
水龙水龙别哭辣,1436.24200
把我的cpu干烧了,691.64100
是你懂阎王帝君，还是我懂阎王帝君？,126.19800
彼时的璃月……报一丝串台了～不对啊！这就是原频道啊！,9.77900
原来你也玩原神,1788.23500
师傅锐评哈哈哈哈哈哈哈，可以当派蒙二号了！,1345.82500
熊! ! ! ! ! !这太诱惑辣,227.75300
某温闻着味就来了,1229.56900
铁像寺,218.75800
莴苣的专场,560.61900
boy的裤子好长啊,1137.83300
wu~,1860.62200
我就想说熊看自己这集是什么感受哈哈哈,1695.02700
搁这开端,591.93900
我也想吃,1706.55600
那维莱特的狗陪一个！,2370.40600
花神诞祭是吧好好好,542.34500
什么萍姥姥 叫萍儿,95.08500
水龙水龙别哭啦！,1435.66900
不愧是莴苣妈妈！,1173.87400
《世界任务》,330.92100
北极熊:我tm没纸了,1987.05900
来，后期剪一刀,1490.46200
晕,1184.51500
给我绕晕了，我已经忘了前面的了,1180.75800
原神启动,8.40300
熊呆呆的哈哈哈哈,1400.61900
哈哈哈哈哈哈不愧是妈妈,1483.35100
尊嘟假嘟,916.99000
哈哈哈哈哈哈哈,1280.43300
巧了不是，来四川拍了,3.21900
哈哈哈,493.44900
谁要和我玩原神up（282507112）,72.65900
承包可靠的莴苣妈妈,1022.91100
须弥主线是吧,629.74400
卡面来打，古蓝朵，zio,1463.89900
魂每次都救急,2227.77800
纸盒那里有一个,2151.81100
懂了，要把五杯茶拿走,545.27700
椅子数目后面不会还有玄机吧,747.59900
锅巴,2100.96900
难绷啊,1819.79500
原来你也玩原神？,1782.76100
爆笑,1262.99500
他好帥啊！！他好帥！！,1465.13900
地上一圈圈水hhhhhh,1374.41900
熊熊可愛捏,1070.81900
莴苣麻麻工作细胞：我闻着味就过来了,463.32800
他小子真的很愛扭脖子 真的帥！,696.79900
欢迎来到《璃月》,89.86700
三花聚顶？,2379.17500
好好好，玩尬的对吧,2437.73700
哈哈哈哈哈哈哈哈哈哈bgm,2348.73500
哈哈哈哈哈哈哈哈哈哈哈哈好尬,2324.58500
魂姐厉害啊,2240.02000
纸巾盒,2184.80900
我去，怪不得是攻略区up,2168.76700
也对耶，毕竟炉灶之神嘛，和摩拉克斯也很熟,2150.33500
感觉就是要找五个锅巴印,2092.47800
结果最后是找五个锅巴,2060.82000
原神是会玩梗的,1937.17200
woc实锤了，真是啊,1849.62000
哈哈哈哈哈哈哈哈哈哈哈哈哈哈6,1803.54000
不会是原来你也玩原神,1782.97500
瞧把孩子饿的,1683.81700
哈哈哈哈哈哈哈哈哈哈哈哈哈哈熊饿了,1681.42800
我碩大一個公司啊hhhhhhh,311.14200
莴苣妈妈牛逼,1551.12400
熟悉的卷心菜土豆,761.40400
不愧是莴苣妈妈,1462.80400
攻略区up主的含金量,1460.58500
魂宝好可爱,1427.22000
欢迎来到水的国度,1411.60500
中国猩猩超级大boynb,10.55800
只能說同時玩原 又看王哥和熊 的我 狂喜！,278.91100
芙芙出场,1261.16100
三花聚顶,2381.78500
不愧是莴苣妈妈,1088.08400
熊熊好可爱,1052.84100
这应该有30原石吧,951.55100
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,800.93700
《你也玩原神》,1926.90300
放4和3,711.42300
不愧是妈妈,665.94000
须弥主线在璃月再现,540.92700
不会是玩九宫格吧,503.12400
《原梦书》,76.32600
我是散兵的狗！,2372.91300
钟离先生,110.01500
原神启动！好激动,35.51900
OMG！离广东好近,24.42500
男版森川葵,1089.55000
NPC固定对话，这个可以,419.91000
那是不是还有EMF 点阵和笔记,1741.47800
我一勺三花淡奶（极答）,2380.65300
熊声音憨憨的但现实这么可爱,293.03400
数独,646.44200
我就是为了万事流量,269.03100
有一个前辈叫做孙红雷,1631.67300
哈哈哈小熊快发癫哈哈哈,258.06500
花神诞祭？,542.02800
熊你真的哈哈,2390.49700
专门来看北极熊，熊啊,133.94000
纸巾盒,2144.22800
妈妈开大,2097.78800
魂儿宝已经蒙了,1229.13800
原来你也,1787.62800
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2322.46900
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2064.86500
既视感,526.12100
4号！,597.78000
哈哈哈哈哈哈哈,2061.78100
原来，你也,1771.84900
哈哈哈来看熊啦,144.99800
熊！,262.75800
哈哈哈哈哈哈哈,1688.06100
不愧是莴苣妈妈,1093.18500
笑死我了╯∀╰,2057.57400
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2055.21400
数独啊,641.30500
啊哈哈哈哈哈哈,815.99800
我不是南通,260.00200
啊？真尘世闲游呢！！,109.25400
玩原神玩的哈哈哈哈哈哈,1824.23300
帝君!!!,102.32100
能不能别提没来的人了，很没礼貌,1196.44000
崩崩炸彈耶,347.02300
我只見過北極熊的皮耶,276.70800
开始忘记第一个,1108.13300
鐘離沒喝茶,109.37000
玩解密还得是莴苣,709.94800
同在成都的我快冷死了,911.79500
我是散兵的狗！,2369.93900
拿走一杯，多出一杯少一杯就能脱离了,605.94100
熊猫锅巴？？,143.15100
离谱哈哈哈哈哈哈太离谱哈哈哈哈哈哈哈哈哈哈哈哈,2438.64700
家乡的小曲（双关,204.59500
有点眼熟,198.43500
彩蛋么,1955.14100
四川话好评,33.51800
！黄龙五彩池！,5.75800
原来，你也玩原神,1767.19700
派蒙不知道哟,1625.00000
好耶！能以这种形式了解我们的传统文化真是太棒了www期待下期！\^O^/,82.84000
云上五巴（）,2109.00900
下期见,2414.13000
表扬剪辑,1978.45000
莴苣妈妈这么厉害不是没有原因的,1470.48800
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊？,1817.44900
原来你也玩原神,1779.30100
v,944.42400
星铁玩家到此一游,1677.51000
我是神里绫人的狗,2364.50900
被安排的旅行者,1663.46500
还真是那五个锅巴（确信）,2060.58300
这综艺整挺好，感觉画质再清晰一点，运镜再改改就完美了,1164.93800
关键词，原来你也玩....,1784.45700
盲猜最后水不够,1447.62500
woc，原！,2014.79300
那最后一个最难呀,978.22800
熊！！！！！！！,257.29000
前面要是有个npc的话衔接会不会更流畅一点。。。,202.00300
这个bgm真的笑死我了,2341.99100
我在等北极熊，你们在等谁？,199.35700
hhhhhhh,2059.79100
熊给吃了吧哈哈哈哈哈哈哈哈,2188.80000
启动原神√,1924.23200
我是那维莱特的狗！！！,2366.05700
哈哈哈哈哈,260.52300
我也是那维莱特的狗,2246.80600
蓝色标志呢,514.10700
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1801.95700
开元素视野啊（doge）,1666.83500
万一撒的是瓜子皮呢,702.36500
出院,814.71600
啊？,418.25900
你也玩元神,1927.32200
看得出来熊很想吃了,1684.28800
好帅,876.07800
既视感！！！,579.02700
九宫格解谜，我愿称之为原神最硬核解谜,464.62200
o.O,919.31500
箱子怎么样了？,282.99900
搁这浇花hhhhh,1329.99000
赛诺，请上大号说话,2292.08100
啊哈哈哈哈哈哈鸡汤来喽！,388.86200
会不会结尾给原石！,311.03500
5人合力，其利断金,978.78700
北极熊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,227.06200
莴苣妈妈,1021.70600
wc北极熊哈哈哈哈哈哈,258.66500
哈哈哈哈哈哈哈哈,1809.19800
哈哈哈哈哈哈哈,1435.55300
____，史瓦罗先生,504.34200
油果描咸！(有个毛线的谐音),409.33900
向着星。。。。感谢你。。。,1227.05600
你小子,2438.56300
原来你也玩原神,1885.23900
哈哈哈哈哈哈哈,1316.14300
666,1306.33000
哈哈哈哈哈哈哈哈哈哈哈哈哈,2434.60800
光碟社没来，这个综艺都来了。,86.41700
666,1070.23400
妈妈。。。,1119.02500
妈妈yyds,1114.62500
蹦蹦核弹,355.32200
666,339.09800
去找妮露嘎了大贤者,619.74900
0.o,944.69600
原来你也玩原神！！！！,1795.25700
原来你也,1785.19300
茶里有汗水？！,1536.31500
倒茶仙人莴苣苣,1525.48100
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2264.97800
好沉的传承之源,353.86300
哈哈哈哈哈哈下暴雨哈哈哈哈哈哈哈,1435.37000
月妈妈社恐所以不来,202.33900
来看麻麻。。。。。,43.69200
妈妈加油,19.49200
他们俩长得好像啊 哈哈哈哈哈哈哈哈哈哈哈哈哈,378.49500
九宫格左下角是一，下面是2，然后3,526.86500
熊猫版本锅巴,142.20400
区区精致,390.77100
哈哈哈哈哈哈哈,2052.71400
妈妈,172.20400
开始画饼？,784.84100
毛线团,79.39900
答案：原来你也玩原神,1780.51000
元素视野手电筒,1746.19000
帮帮我，莴苣妈妈！,1647.95900
npc是这样的,560.49500
星铁了是吧,1643.47900
来任务了,504.39400
突然想到北极熊抽莱欧（哈哈哈哈哈哈）,269.73400
不愧是莴苣妈妈,1528.31900
纳维莱特别哭了,1436.79900
原神启动,2433.02000
哇！好的op啊！一起启动！,26.90000
欢唱，以我之名！,1404.69900
啊哈哈,2348.18100
锅巴启动,2334.64100
woc，就是那个解密任务,345.65800
锅巴,2091.32100
这里真没崩住,1825.98200
我也要来喝酒,1233.22100
热？河南冻死了要,912.88900
欢唱，以我之名,1409.78300
自古ct不抬头,2023.33100
我第一反应真是三花淡奶来着。。。,2387.85800
不会是 你也玩原神 吧？,1955.71900
答案:原来你也玩原神,1653.79900
萌萌的竹笋！,123.84400
水龙水龙别哭了,1446.53900
2019年？？？,2370.21900
原梦,14.83900
完蛋下意识想点追踪,941.83900
院审，启动！,820.41900
原石呢？我要原石！,788.33900
按椅子分配吧？,561.86700
好尬哈哈哈哈哈哈,2046.91800
特地把b站下回来只为原梦团,298.15900
北极熊原来戴眼镜！,427.51600
你也？？？？？,1765.33000
你干脆都吃了吧,1702.33200
断下网就行了,1670.52400
上星铁了是吧,1639.71900
纳维雅专武大斧子,1623.95400
哪里是可莉的声音啊，明明是派蒙的。,189.23000
行李箱又丢了？,281.58400
望舒客栈小曲,199.97000
贵阳黑帮,309.09800
我受不了了啊啊啊,2438.42700
魂姐永远滴神,2236.22700
有没有可能 线索是锅巴 这个才是彩蛋,2067.71000
绷不住了哈哈哈,1802.75300
原来你也？,1781.87300
懂了  五八三十五,1670.82000
行云流水，太帅了,1463.95800
可爱的芙芙！,1258.86700
虽然但是我真的忍不住哈哈哈哈哈哈哈！,1253.04700
院深，漆洞！,816.34700
莴苣妈妈我爱你！,1457.74200
一条线加起来15,605.27700
恐鬼症那位，我的第一反应也是哈哈哈哈,1745.60600
教令院,829.26100
"二四为肩,六八为足,左三右七,戴九履一,五居中央",620.38100
接任务啊,397.82100
啊啊啊啊啊啊四川！！！！！,80.37400
四川人感到很骄傲！！！,62.09300
下意识按V+M,957.92800
不愧是妈妈！！！,1171.26000
熊好拘谨哈哈哈,427.15500
北极熊瘦了点是不,297.98200
水仙十字院！,819.29900
爱酱勇者,799.73800
有机位,1678.84900
《总要喝一杯》,948.45700
跟线索的字数一样。,1886.37400
记住它圆圆的样子,362.77300
忘光了,1202.43200
x+y=7，x+z=13，x=y-7，y-7+z=13，z=6+y，所以z=7或9，y=1或3，两种解法任选一个就行了。,691.64400
我也是 下意识按v,938.72200
不会是：原来你也玩原神吧！,1790.46000
不愧是我,1684.00400
???越看越迷糊了，这是啥？,535.66000
这是海祁岛那个解密的翻版吧,505.34000
去吧！账账（串台）,1657.14600
绝不会漏过视线内的任何一个的宝箱,390.42000
哈哈哈,1805.80800
哈哈哈哈，笑点都是师傅给的,1339.05900
哈哈哈哈，没水啦,1258.57900
专业的额啊,706.81800
蜗居妈麻德表情，呜呜呜,1020.07400
所以……你们有带钱吗,1143.73100
如果这都叫成功，世界上就没有失败了——曾小龙,1333.09100
我的芙芙,1266.09000
哈哈哈,1814.86900
使命在召唤,918.03000
这么冷的天～你离我那么远～在靠近我一点～（无端联想,908.98300
哦哟，花神诞祭,555.33900
609位正在观看，Hello啊，朋友,149.93900
曾小龙老师上过中央电视台的，看过，超厉害的！！！,843.35200
难绷,2323.00000
曾小龙老师上过央视的，超厉害！,890.17200
水龙水龙别哭了,1434.44000
我好急，我好急，我好急,2215.00000
越来越会玩了，原宝 开场就花神，惊魂未定的时候又要现实挑战，吓死人,2169.00000
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2081.00000
是数独,463.28500
二四为肩，六八为足，戴九屡一左七右三，五在中间,696.73900
妈妈！,156.82900
妈！,132.17900
原来你也,1785.36000
诶唷还有演技,614.48600
是无论横竖斜加起来都得等于十五吗,509.30700
笑死,1649.98500
我的沉默震耳欲聋,802.96400
这么长。。。。,1149.89000
有8GV ,752.67800
哇贞德食泥丫,2052.71400
...,2439.12000
？？？？,2276.98800
？？？钟离,117.44000
银临的青山揽梦？,3.40000
雨线难画,1320.02600
哈哈哈哈哈哈哈哈哈,1264.23700
是你啊,261.32600
原神，启动,7.91900
来了来了,178.33800
萍姥姥！,327.73500
上回书说到,209.23600
钟离！,108.67900
萍姥姥？,48.60300
原来你也,1782.29200
这么冷的天，你离我这么远,917.54400
原石+2,2346.77200
不愧是莴苣,1086.39800
有麻麻在，躺了,741.39600
包包,613.82200
原石+2,764.17900
成功了有原石拿吗,330.00300
原石+5,149.69400
锅巴，喷火,60.22200
6,2432.47900
原来你也……,1780.66600
34圈真君·上线,606.73000
芙芙,1269.91000
哈哈哈哈哈哈哈,1228.68500
派蒙,347.01900
我擦，老爷子,111.89700
太简单了,740.52800
不愧是莴苣妈妈,1461.46000
感觉很像剑花,1109.46800
来四川 我都不晓得该推荐去哪儿耍 本地人真不觉得哪儿好耍哈哈哈,121.94800
我就在四川，在哪个位置拍摄？我准备去看一看,87.25600
宝箱说不好意思，我不玩原神,2057.96600
原神启动！,2421.97000
花神诞祭？,534.48200
为啥是麻将的样子啊,1685.88800
对，是原！,1.61900
五印同显方始现,1865.76400
哈哈好搞笑,1817.80600
渌华池,83.17600
像我做任务的样子,1615.03700
差不多了？不是差太多了。,1269.99700
如果瓜子撒完了怎么办？,578.00000
王憨憨！,301.44300
啊是他吗我这几天老在主页刷到他,259.56200
妈妈！,159.89200
不尬就不是原了,2337.11300
？什么神奇猫猫头女士哈哈哈哈哈哈哈,1874.11700
毛线团,82.88100
啊?使命必达?,8.71000
没水了都,1454.83100
我超，原！,1841.73500
小潮院长,811.91300
熊熊也好可爱,1697.06600
水龙水龙别哭了,1432.52100
boy好可爱哈哈,1562.97500
果然都是想的这个哈哈哈哈哈哈,1802.05000
啊？桂林？怎么近！,16.96100
卧槽中国boy？！,18.49400
四川话吧，桂柳话不是这样的,61.25800
你也来玩原？,1947.73800
小识的BGM,1318.14700
第n个看完的,2420.95000
白沙街疯人院,828.75600
出院！,819.05100
这太诱惑了（doge,274.28000
海奇岛谜题,686.49400
幻方,514.61800
哈哈哈,1817.32300
花神诞祭的轮回?,546.57900
好像那种少儿频道的综艺节目，很适合我这样的大学生,380.65200
好会配啊,2345.08700
莴苣妈妈好厉害,1468.46000
前面的陪一个,2333.92100
我以为是翠翠,335.58100
前面的，我汗流浃背了。,2226.33600
原来你也玩…～～,1788.59800
就是锅巴吧！,2070.68300
事已至此，先吃饭吧,1676.98500
中国bor痛失网名,221.24000
好好好,1964.82700
剧透：原来你也玩原神,1600.61600
果然。。,1850.11600
浓度高是这样的，哈哈哈哈哈哈哈，这个好搞笑,1826.06700
跟欣小萌跳极乐净土四肢没长全的猩,1268.07300
big胆,482.58900
原来你也玩，，,1779.72600
原来你也玩,1782.58300
无敌了孩子,3.77900
有点像蜜桃！,1635.23800
《尿        尿》（对不起）,856.85100
院神？启动！,816.14700
来云南！！！,107.96400
是不是椅子要对茶的数量,646.07800
院神，启动！（突然激动,817.84500
《空的》《慢慢喝》,410.05600
震惊！原梦冒险团惊现神奇猫猫头女士（doge）,1863.65800
？,2437.07600
数独啊,502.97400
启动,1807.75400
花神诞祭,534.97100
？,2061.69900
原来你也,1782.27800
茶里有汗,1534.85900
我不是南通！,256.39800
一看就是做委托的时候天天点我要奖励！我要奖励！的旅行者（doge）,948.29800
上一次看到这个还是在京剧猫里面（哭笑）,886.61800
哈哈哈哈哈哈哈哈哈哈哈哈,1820.86500
等一下，第一步是什么来着？,1198.19300
bbwfl,2437.44000
真不错,2416.80300
原神,70.88900
笑死了,2049.17300
熊你好憨,1682.91900
熊总会带来一些意料之外的惊喜,1969.08700
好尴尬,2062.81500
我怎么感觉看着还挺有意思的,1837.28000
哈哈哈哈哈,1833.05700
锅巴：摩拉～摩拉！,2407.53300
钟离哎,107.49700
妈妈脑子疯狂转动,639.15100
居然没原石,773.36500
不愧是莴苣妈妈,679.34800
这任务多少原石,618.43700
盲猜宝箱开了,753.01800
花神诞日吗,561.12600
元素视野手电筒，还挺还原,2007.37900
这个感叹号！！！！,403.43700
嘟嘟可会爆炸吗,360.43000
才感觉莴苣妈妈好牛,1088.44300
万一被他们吃掉的这个就是线索,1714.92100
！！！！,243.54100
哈哈哈哈哈哈,1261.53900
妈妈！！！！！！！！,150.12100
我的家乡啊啊啊啊,93.57800
不愧是妈妈,663.81900
wow,6.01800
轮回？,535.18400
稻妻的解密,682.66100
水龙水龙别哭啦,1439.49600
哈哈哈哈哈,1858.57600
院审~启动,824.48700
|,1023.91000
四号！四号！四号！四号！四号！,532.56100
都没认真学。。,1363.45800
水元素充盈,1263.43600
铁掌嘴是吧,30.44100
901个人晚上好,1353.31700
芙芙,1273.16000
来了，九五至尊,471.34500
五印，哈哈哈哈,2059.52800
有点像上一季的客栈老板娘和凯瑟琳,352.90400
我还以为是诸葛大力来了,329.63900
诶！不是还有一个吗？,310.66000
白熊：真能扯,296.24800
离谱哈哈哈哈哈哈哈哈哈哈哈哈,2437.26700
欧毕克莱歌剧院,819.00300
没卡半岩不认可,1587.61500
啊啊啊啊啊啊！白熊,273.80300
上来就走啊,211.07100
不到啊,184.95600
《 玩 也 》,1783.56300
上次是桂林书这次是四川书,150.92500
熊啊,265.01200
桂柳话吗,55.88000
钟姥爷,111.57400
那啥？,109.10500
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,107.30300
啊！萍姥姥！,35.28200
耶！,13.44800
莴苣妈妈太强了,1546.91800
哈哈哈哈哈哈哈哈哈哈哈哈好,1803.72700
哈哈哈哈哈哈哈,1807.06500
《每日委托》,123.23500
小吉祥莴苣的循环往复,557.48200
使命必达，但是魔拉必须留下！,916.07400
皇帝的新茶,421.84100
原石呢？,780.49500
啊？锅巴怎么是你！？,2096.70100
该死，熟悉的即视感,538.92200
哈哈哈哈哈哈哈哈哈,2057.10700
帮帮我，施瓦罗先生！！,487.41400
帮帮我，史瓦特先生！！,503.48400
原来你也玩锅巴,2319.29900
《皇帝的新茶》,424.44400
北极熊本熊,277.25000
研究丘丘人语言的那个！,236.98900
嘟嘟可没拿！,1581.85300
帝君会不会又来了？,207.63000
这太诱惑了,257.57700
《提瓦特整活频道》,184.60900
魂儿身材好好,443.18900
帝君又双叒叕尘世闲游了,108.31900
照着答案找题目，哈哈哈哈哈哈哈哈哈哈哈,1847.45200
原来，你也玩原神！,43.49900
此时你需要一个小鹿,1659.31100
魂儿后面带回家了哈哈哈哈哈,363.67800
还不如送原石呢。,356.69000
你也,1804.33900
钟离姥爷说我也要喝茶。一亿摩拉收不收？,432.63800
好耶，是南通,265.65100
等会，这是往生堂，你们都嘎了,403.83800
有没有钟离呀？,394.49800
不愧是莴苣妈妈真会哄孩子,795.86700
原来你也。。。。,1780.37100
北极熊∶阿米诺斯,1629.65100
就怕待会儿输掉5摩拉，拿到宝箱和宝箱里开出2摩拉,1383.32400
工具人旅行者已上线,1607.97100
左三右七戴九履一,700.39700
雨线难画,1157.18100
帝君刚刚那个背影好帅！但是怎么就走了呜呜,220.51900
你也玩原神？,1953.93900
九宫格,651.44300
欧毕克莱川剧院,1561.62700
以前在电视上刷过，是斗茶吗？,856.69800
我被妈妈养废了，哈哈哈,1187.42400
啊，奸商,1122.44400
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1802.32000
妈妈好牛,1085.06400
在场的不都是原吗？还用找？,1976.35500
妈妈,1022.34400
四川书,92.75300
好耶，是纳西妲！,589.71200
没有纳西妲不是很认可（悲）,550.08200
同意上面说花玲的（兄弟你玲打错力doge）,371.53300
好耶！（超大声）,336.85000
院神，启动,829.78000
毛线团，，，,79.01600
↑绝活间hhh,149.56500
全靠莴苣妈,1509.94900
花神诞祭！,573.24600
这个不就是撩剑吗,1124.90000
勇闯无人区,1013.52300
《行秋》,860.53800
花神诞祭,530.91100
就喜欢玩尬的对吧,1245.37800
《皇帝的新茶》,423.02300
可莉不知道哦,2075.68900
？,2328.41900
应该说没有再要10个,2402.68200
安全区                               ，,2203.54200
我是笨笨,708.83800
瓜子：so?,599.09900
口口口口？！,913.64000
使命必达！帮你实现！,913.64000
第四个,2416.13700
忍不住了,2347.74500
！,952.25600
院审，启动,827.66800
天才,1893.17200
机会，稍纵即逝！,1407.08700
原来去你玩原神,1781.85500
还得是你啊熊,1680.33900
熊熊好可爱啊,1698.39000
花神诞祭是吧,532.71300
啊？,417.08700
花神淡季了属于是,453.23200
hhhhhhhh哈哈哈哈哈哈哈哈,1303.86600
攻略区的含金量,1462.99300
锅巴藏得住（）,2218.56500
干点正事吧～北极熊和自由魂～,1714.78200
18：01的有吗,1204.54200
o.O,923.84300
原来你也玩锅巴（bushi）,2115.77600
？,1159.42300
不愧是你俩,1712.75400
瓶捞佬～～～,65.34300
CPU疯狂燃烧,1182.16100
发现这人间，又污秽了,46.20100
经典小姐迷,673.27000
钟离啊啊啊啊啊啊啊啊啊,111.91700
cc！,266.22200
不知道？那就后期减一刀啊麻麻,183.82200
魂？,138.59400
原来原神也玩你,2074.11000
水仙十字院！！！！！,817.37900
最聪明的一集,676.86700
熊！啊啊啊啊啊！！！！,254.77200
笑死我了儿的立方,231.93100
这不高低得先把冰皮月饼吃了,1657.23000
哈哈哈哈哈哈,1437.77800
有福，完蛋了,281.05000
明显是男同,1870.70100
离心力啊,858.98400
什么行秋,1410.54100
这游戏，熊玩不了,711.56800
某神闻着味就来了。,1233.12700
给力呀,2250.93700
笑了,921.38500
boy太帅了,680.38100
怎么没把抽美工刀那一段放出来（doge）,270.13300
你自己知道还要让他们来？,1637.58500
这是不是大慈寺？？,108.98400
原来你也玩原神,2044.99200
明示了,500.54300
什么九宫格,458.60300
麻麻我想学这个,872.66300
北极熊和莴苣妈妈好像啊,292.17400
15数九宫格是吧？,494.36900
哈哈哈哈哈哈哈,2354.31100
只因,2216.18200
提瓦特该溜子,124.43500
灶神,2131.19400
尬死我了,2322.36300
哈哈哈哈哈哈哈好尬,2069.64800
班尼特是吧,770.45000
阮梅,1705.02200
花神诞祭的轮回！我刚过完,554.97000
我的壶啊哈哈哈哈家,1098.68600
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1681.24500
我要看钟离OVO,1618.28300
